"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BTLD";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"C1";"470pF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C2";"470pF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C3";"2.2uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C4";"2.2uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C5";".1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C6";".1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C7";".1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";
"C8";"22pF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C9";"22pF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";
"C10";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C11";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C12";"18pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"IC1";"3.3V";"MIC5219XX";"SOT23-5";"VOLTAGE REGULATOR";"";"";"unknown";"unknown";
"IC2";"XB";"MIC5219XX";"SOT23-5";"VOLTAGE REGULATOR";"";"";"unknown";"unknown";
"JP1";"PWR";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"JP2";"BTLD";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"JP3";"PRGRM";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";
"LED1";"GRN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"LED2";"GRN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"LED3";"GRN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"LED4";"GRN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"PWR";"GRN";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";
"Q1";"8MHz";"CRYSTALHC49UP";"HC49UP";"CRYSTAL";"";"";"unknown";"unknown";
"R1";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"R2";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"R3";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"R4";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"R5";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"R6";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"R7";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";
"S1";"";"PUSH_BUTTON_SPSTSMD";"COM-12993";"COM-12993 -  SMD 12mm square SPST button. This button is great for user input or a good reset button on a PCB.";"";"";"";"";
"SV1";"SP-215";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV2";"BME";"MA07-1";"MA07-1";"PIN HEADER";"";"";"unknown";"unknown";
"SV3";"GPS";"MA09-1";"MA09-1";"PIN HEADER";"";"";"unknown";"unknown";
"U1";"";"MEGA1284P-TQFP44SMT-TQFP44";"TQFP44";"";"";"";"";"";
"XB1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";"XBP24-AWI-001";"1337916";"42M2667";
